year,gdp,gdp_mil
1990,65977748211,65977.74821
1991,85500935935,85500.93593
1992,94337050693,94337.05069
1993,96043157273,96043.15727
1994,1.10804E+11,110803.6353
1995,1.42294E+11,142293.781
1996,1.60193E+11,160193.2421
1997,1.59358E+11,159358.1785
1998,1.74686E+11,174685.7916
1999,1.70031E+11,170030.6621
2000,1.7222E+11,172220.4518
2001,1.90905E+11,190905.4935
2002,1.9907E+11,199070.4487
2003,2.17829E+11,217828.6611
2004,2.55107E+11,255107.2522
2005,3.06146E+11,306145.9448
2006,3.44627E+11,344626.6674
2007,4.29021E+11,429020.7554
2008,5.336E+11,533599.7795
2009,4.39732E+11,439731.5891
2010,4.75697E+11,475696.6139
2011,5.24374E+11,524374.1832
2012,4.95231E+11,495230.5237
2013,5.15762E+11,515761.9541
2014,5.3908E+11,539080.4751
2015,4.77111E+11,477111.288
2016,4.70025E+11,470024.5596
2017,5.24641E+11,524641.2066
2018,5.8878E+11,588779.8508
2019,5.96058E+11,596058.4731
2020,5.99443E+11,599442.7836
2021,6.81346E+11,681346.1364
2022,6.88125E+11,688125.0105
